         35172065 function calls (35169339 primitive calls) in 23.064 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      138    0.003    0.000    0.021    0.000 pkg_resources.py:1828(find_on_path)
     1544    0.003    0.000    0.003    0.000 wrapper.py:93(__setattr__)
        1    0.002    0.002    0.008    0.008 GL_3_3.py:9(<module>)
        4    0.002    0.001    0.003    0.001 collections.py:172(namedtuple)
        6    0.002    0.000    0.002    0.000 {_ctypes.LoadLibrary}
        1    0.002    0.002    0.012    0.012 ctypesloader.py:5(<module>)
     1001    0.002    0.000    0.050    0.000 __init__.py:55(createFunction)
        1    0.002    0.002    0.005    0.005 numeric.py:1(<module>)
        1    0.002    0.002    0.032    0.032 __init__.py:15(<module>)
     4065    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
      575    0.002    0.000    0.005    0.000 wrapper.py:174(setPyConverter)
      324    0.002    0.000    0.023    0.000 pkg_resources.py:226(get_provider)
      414    0.002    0.000    0.002    0.000 baseplatform.py:96(errorChecking)
        1    0.002    0.002    0.030    0.030 glget.py:11(<module>)
        1    0.002    0.002    0.008    0.008 __init__.py:45(<module>)
        1    0.002    0.002    0.002    0.002 arrayprint.py:5(<module>)
     2606    0.002    0.000    0.002    0.000 ntpath.py:122(splitdrive)
      422    0.002    0.000    0.002    0.000 ctypesloader.py:58(buildFunction)
        1    0.002    0.002    0.003    0.003 collections.py:1(<module>)
  351/149    0.002    0.000    0.002    0.000 sre_parse.py:140(getwidth)
        1    0.002    0.002    0.004    0.004 __init__.py:38(<module>)
        1    0.002    0.002    0.050    0.050 pkg_resources.py:14(<module>)
        1    0.002    0.002    0.002    0.002 shutil.py:5(<module>)
        1    0.002    0.002    0.114    0.114 __init__.py:16(<module>)
      533    0.002    0.000    0.003    0.000 ntpath.py:63(join)
     1052    0.002    0.000    0.002    0.000 sre_parse.py:182(__next)
        1    0.002    0.002    0.010    0.010 __init__.py:7(<module>)
        1    0.002    0.002    0.008    0.008 GL_4_1.py:9(<module>)
        1    0.002    0.002    0.003    0.003 case.py:1(<module>)
     5604    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      465    0.002    0.000    0.003    0.000 wrapper.py:207(setCConverter)
        1    0.002    0.002    0.004    0.004 index_tricks.py:1(<module>)
      160    0.002    0.000    0.002    0.000 images.py:62(setupDefaultTransferMode)
      223    0.002    0.000    0.015    0.000 arrayhelpers.py:158(setInputArraySizeType)
        1    0.002    0.002    0.002    0.002 ES3_compatibility.py:18(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:176(<module>)
      516    0.001    0.000    0.002    0.000 converters.py:28(__init__)
      431    0.001    0.000    0.001    0.000 __init__.py:370(__getitem__)
      161    0.001    0.000    0.070    0.000 test.py:230(updateTitle)
        1    0.001    0.001    0.004    0.004 threading.py:1(<module>)
      688    0.001    0.000    0.001    0.000 baseplatform.py:236(checkExtension)
      160    0.001    0.000    0.002    0.000 images.py:72(rankPacking)
      160    0.001    0.000    0.007    0.000 images.py:394(__call__)
        1    0.001    0.001    0.005    0.005 npyio.py:1(<module>)
        1    0.001    0.001    0.003    0.003 arrayhelpers.py:5(<module>)
        2    0.001    0.001    0.002    0.001 function_base.py:1(<module>)
        1    0.001    0.001    0.011    0.011 GL_2_0.py:9(<module>)
        1    0.001    0.001    0.001    0.001 result.py:1(<module>)
        1    0.001    0.001    0.004    0.004 GL_3_2.py:9(<module>)
      350    0.001    0.000    0.003    0.000 pkg_resources.py:2727(_find_adapter)
      324    0.001    0.000    0.005    0.000 pkg_resources.py:1294(__init__)
        1    0.001    0.001    0.026    0.026 GL_1_1.py:1(<module>)
7660/7528    0.001    0.000    0.001    0.000 {len}
      428    0.001    0.000    0.002    0.000 threading.py:115(acquire)
        1    0.001    0.001    0.002    0.002 arraydatatype.py:1(<module>)
      960    0.001    0.000    0.008    0.000 wrapper.py:339(calculate_pyArgs)
      324    0.001    0.000    0.017    0.000 pkg_resources.py:1392(__init__)
        1    0.001    0.001    0.010    0.010 images.py:14(<module>)
        1    0.001    0.001    0.001    0.001 sprite.py:67(<module>)
       76    0.001    0.000    0.001    0.000 sre_compile.py:207(_optimize_charset)
       47    0.001    0.000    0.001    0.000 lazywrapper.py:20(wrap)
        1    0.001    0.001    0.005    0.005 GL_3_0.py:9(<module>)
      350    0.001    0.000    0.001    0.000 pkg_resources.py:2720(_get_mro)
        1    0.001    0.001    0.101    0.101 numpymodule.py:6(<module>)
        1    0.001    0.001    0.009    0.009 __init__.py:5(<module>)
        1    0.001    0.001    0.001    0.001 zipfile.py:410(_GenerateCRCTable)
      973    0.001    0.000    0.002    0.000 sre_parse.py:130(__getitem__)
        1    0.001    0.001    0.001    0.001 __init__.py:9(<module>)
     1001    0.001    0.000    0.001    0.000 __init__.py:39(add_types)
      349    0.001    0.000    0.004    0.000 pkg_resources.py:1374(_fn)
      160    0.001    0.000    0.001    0.000 __init__.py:491(cast)
      116    0.001    0.000    0.005    0.000 pkg_resources.py:2219(from_location)
     4074    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        1    0.001    0.001    0.001    0.001 numeric.py:10(<module>)
      428    0.001    0.000    0.005    0.000 __init__.py:990(getLogger)
        1    0.001    0.001    0.002    0.002 debug.py:118(<module>)
        1    0.001    0.001    0.027    0.027 type_check.py:3(<module>)
        1    0.001    0.001    0.002    0.002 imaging.py:9(<module>)
      428    0.001    0.000    0.001    0.000 threading.py:135(release)
        1    0.001    0.001    0.001    0.001 acceleratesupport.py:1(<module>)
     1224    0.001    0.000    0.001    0.000 {_ctypes.POINTER}
        1    0.001    0.001    0.004    0.004 __init__.py:44(<module>)
      160    0.001    0.000    0.002    0.000 strings.py:9(dataPointer)
     1099    0.001    0.000    0.001    0.000 wrapper.py:85(__getattr__)
        1    0.001    0.001    0.001    0.001 baseplatform.py:2(<module>)
     1972    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x000000001E29D0F0}
        1    0.001    0.001    0.005    0.005 GL_1_3.py:9(<module>)
      116    0.001    0.000    0.002    0.000 pkg_resources.py:511(add)
      116    0.001    0.000    0.003    0.000 pkg_resources.py:2206(__init__)
        1    0.001    0.001    0.004    0.004 GL_1_2_images.py:9(<module>)
      270    0.001    0.000    0.020    0.000 re.py:229(_compile)
      162    0.001    0.000    0.030    0.000 pkg_resources.py:871(resource_exists)
        1    0.001    0.001    0.001    0.001 wrapper.py:1(<module>)
        1    0.001    0.001    0.001    0.001 constants.py:5(<module>)
        1    0.001    0.001    0.003    0.003 GL_3_1.py:9(<module>)
      320    0.001    0.000    0.037    0.000 latebind.py:59(__call__)
       48    0.001    0.000    0.004    0.000 images.py:457(setImageInput)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
        1    0.001    0.001    2.728    2.728 test.py:163(setupGraphics)
      858    0.001    0.000    0.002    0.000 sre_parse.py:201(get)
      341    0.001    0.000    0.001    0.000 pkg_resources.py:2268(key)
      186    0.001    0.000    0.015    0.000 genericpath.py:15(exists)
        1    0.001    0.001    0.002    0.002 _datasource.py:33(<module>)
        1    0.001    0.001    0.047    0.047 __init__.py:18(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:10(<module>)
        1    0.001    0.001    0.001    0.001 loader.py:1(<module>)
     1084    0.001    0.000    0.001    0.000 baseplatform.py:115(finalArgType)
       22    0.001    0.000    0.001    0.000 {nt.access}
      533    0.001    0.000    0.001    0.000 ntpath.py:55(isabs)
        1    0.001    0.001    0.054    0.054 add_newdocs.py:10(<module>)
      162    0.001    0.000    0.025    0.000 pkg_resources.py:887(resource_stream)
        1    0.001    0.001    0.001    0.001 colordict.py:21(<module>)
      160    0.001    0.000    0.017    0.000 latebind.py:33(__call__)
      126    0.001    0.000    0.005    0.000 genericpath.py:26(isfile)
        1    0.001    0.001    0.002    0.002 surfarray.py:61(<module>)
       45    0.001    0.000    0.001    0.000 pkg_resources.py:2412(insert_on)
      160    0.001    0.000    0.001    0.000 arraydatatype.py:139(asArray)
      414    0.001    0.000    0.005    0.000 baseplatform.py:111(wrapLogging)
        1    0.001    0.001    0.001    0.001 utils.py:4(<module>)
      162    0.001    0.000    0.055    0.000 pkgdata.py:34(getResource)
      162    0.001    0.000    0.015    0.000 pkg_resources.py:1422(get_resource_stream)
   106/37    0.001    0.000    0.010    0.000 sre_parse.py:301(_parse_sub)
      160    0.001    0.000    0.001    0.000 test.py:197(snap_to_grid)
      161    0.001    0.000    0.001    0.000 test.py:186(isexit)
      431    0.001    0.000    0.002    0.000 __init__.py:363(__getattr__)
      320    0.001    0.000    0.001    0.000 arraydatatype.py:28(__call__)
       30    0.001    0.000    0.003    0.000 pointers.py:102(wrapPointerFunction)
      391    0.000    0.000    0.004    0.000 ntpath.py:203(dirname)
       76    0.000    0.000    0.002    0.000 sre_compile.py:178(_compile_charset)
        1    0.000    0.000    0.001    0.001 format.py:136(<module>)
        1    0.000    0.000    0.001    0.001 sampler_objects.py:38(<module>)
      117    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.002    0.002 framebuffer_object.py:274(<module>)
        1    0.000    0.000    0.005    0.005 polynomial.py:4(<module>)
      160    0.000    0.000    0.001    0.000 exceptional.py:53(glEnd)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
      428    0.000    0.000    0.005    0.000 __init__.py:1518(getLogger)
      202    0.000    0.000    0.001    0.000 test.py:79(iterateField)
      666    0.000    0.000    0.001    0.000 string.py:158(convert)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
        1    0.000    0.000    0.001    0.001 exceptional.py:1(<module>)
     1001    0.000    0.000    0.000    0.000 __init__.py:37(types)
        1    0.000    0.000    0.003    0.003 _internal.py:6(<module>)
        4    0.000    0.000    0.005    0.001 util.py:49(find_library)
        1    0.000    0.000    0.002    0.002 tess.py:1(<module>)
      310    0.000    0.000    0.001    0.000 wrapper.py:80(__init__)
     1077    0.000    0.000    0.001    0.000 wrapper.py:33(asList)
      116    0.000    0.000    0.001    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
      811    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      162    0.000    0.000    0.016    0.000 pkg_resources.py:1307(has_resource)
     1122    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
      517    0.000    0.000    0.000    0.000 {zip}
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
      428    0.000    0.000    0.002    0.000 __init__.py:210(_acquireLock)
       62    0.000    0.000    0.001    0.000 ntpath.py:398(normpath)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
        1    0.000    0.000    0.001    0.001 texture_storage.py:31(<module>)
       47    0.000    0.000    0.011    0.000 pkgutil.py:176(find_module)
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
      162    0.000    0.000    0.001    0.000 pkg_resources.py:2371(__getattr__)
       37    0.000    0.000    0.002    0.000 sre_compile.py:361(_compile_info)
        1    0.000    0.000    0.003    0.003 separate_shader_objects.py:84(<module>)
        1    0.000    0.000    0.004    0.004 GL_1_2.py:9(<module>)
      138    0.000    0.000    0.008    0.000 genericpath.py:38(isdir)
      160    0.000    0.000    0.002    0.000 strings.py:16(from_param)
       26    0.000    0.000    0.025    0.001 pkg_resources.py:436(add_entry)
      160    0.000    0.000    0.003    0.000 arraydatatype.py:113(from_param)
      845    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 transform_feedback3.py:59(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.001    0.001 base_instance.py:29(<module>)
  674/649    0.000    0.000    0.000    0.000 {setattr}
      485    0.000    0.000    0.000    0.000 urlparse.py:314(<genexpr>)
        1    0.000    0.000    0.002    0.002 vertex_type_2_10_10_10_rev.py:21(<module>)
        1    0.000    0.000    0.001    0.001 shader_storage_buffer_object.py:48(<module>)
        1    0.000    0.000    0.001    0.001 texture_buffer_range.py:21(<module>)
        1    0.000    0.000    0.000    0.000 texture_cube_map_array.py:37(<module>)
        1    0.000    0.000    0.002    0.002 GL_1_5.py:9(<module>)
        1    0.000    0.000    0.004    0.004 GL_1_4.py:9(<module>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
      618    0.000    0.000    0.001    0.000 sre_parse.py:195(match)
      186    0.000    0.000    0.015    0.000 pkg_resources.py:1413(_has)
        1    0.000    0.000    0.001    0.001 texture_storage_multisample.py:23(<module>)
       34    0.000    0.000    0.002    0.000 wrapper.py:119(setOutput)
        7    0.000    0.000    0.003    0.000 __init__.py:337(__init__)
      428    0.000    0.000    0.001    0.000 __init__.py:219(_releaseLock)
      427    0.000    0.000    0.004    0.000 baseplatform.py:89(functionTypeFor)
        1    0.000    0.000    0.000    0.000 stencil_texturing.py:17(<module>)
        1    0.000    0.000    0.001    0.001 constants.py:4(<module>)
        1    0.000    0.000    0.001    0.001 program_interface_query.py:45(<module>)
        1    0.000    0.000    0.001    0.001 sndarray.py:58(<module>)
       59    0.000    0.000    0.000    0.000 {nt._getfullpathname}
        1    0.000    0.000    0.001    0.001 transform_feedback2.py:36(<module>)
        1    0.000    0.000    0.000    0.000 map_buffer_alignment.py:16(<module>)
      430    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.000    0.000    0.001    0.001 vertex_attrib_binding.py:47(<module>)
        1    0.000    0.000    0.001    0.001 sync.py:31(<module>)
        1    0.000    0.000    0.000    0.000 robust_buffer_access_behavior.py:21(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
       63    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       45    0.000    0.000    0.015    0.000 pkg_resources.py:2340(activate)
        1    0.000    0.000    0.001    0.001 uniform_buffer_object.py:113(<module>)
        1    0.000    0.000    0.001    0.001 GL_2_1.py:9(<module>)
        1    0.000    0.000    0.000    0.000 logs.py:6(<module>)
      444    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
      320    0.000    0.000    0.000    0.000 images.py:369(asIntConverter)
        1    0.000    0.000    0.000    0.000 draw_elements_base_vertex.py:66(<module>)
        1    0.000    0.000    0.001    0.001 internalformat_query2.py:57(<module>)
        1    0.000    0.000    0.001    0.001 invalidate_subdata.py:54(<module>)
        1    0.000    0.000    0.001    0.001 gpu_shader_fp64.py:61(<module>)
        1    0.000    0.000    0.001    0.001 compute_shader.py:47(<module>)
      232    0.000    0.000    0.002    0.000 re.py:144(sub)
      112    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
        1    0.000    0.000    0.001    0.001 ES2_compatibility.py:15(<module>)
        1    0.000    0.000    0.000    0.000 multi_draw_indirect.py:23(<module>)
        1    0.000    0.000    0.000    0.000 texture_view.py:38(<module>)
        1    0.000    0.000    0.001    0.001 framebuffer_no_attachments.py:56(<module>)
        1    0.000    0.000    0.001    0.001 blend_func_extended.py:25(<module>)
        1    0.000    0.000    0.001    0.001 vertex_attrib_64bit.py:52(<module>)
        1    0.000    0.000    0.000    0.000 get_program_binary.py:32(<module>)
        1    0.000    0.000    0.001    0.001 texture_multisample.py:24(<module>)
        1    0.000    0.000    0.001    0.001 viewport_array.py:35(<module>)
        1    0.000    0.000    0.000    0.000 converters.py:1(<module>)
        1    0.000    0.000    0.001    0.001 shader_image_load_store.py:54(<module>)
        1    0.000    0.000    0.001    0.001 shader_subroutine.py:18(<module>)
        1    0.000    0.000    0.000    0.000 texture_buffer_object.py:41(<module>)
        1    0.000    0.000    0.001    0.001 shader_atomic_counters.py:51(<module>)
        1    0.000    0.000    0.001    0.001 vertex_array_object.py:22(<module>)
        1    0.000    0.000    0.000    0.000 debug_group.py:42(<module>)
        1    0.000    0.000    0.000    0.000 gpu_shader5.py:90(<module>)
        1    0.000    0.000    0.000    0.000 copy_buffer.py:16(<module>)
        1    0.000    0.000    0.000    0.000 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 debug_output2.py:35(<module>)
        1    0.000    0.000    0.000    0.000 timer_query.py:32(<module>)
        1    0.000    0.000    0.000    0.000 clear_buffer_object.py:24(<module>)
        1    0.000    0.000    0.000    0.000 map_buffer_range.py:36(<module>)
        1    0.000    0.000    0.001    0.001 tessellation_shader.py:78(<module>)
      166    0.000    0.000    0.000    0.000 {pygame.mouse.get_pos}
        1    0.000    0.000    0.000    0.000 texture_query_levels.py:32(<module>)
        1    0.000    0.000    0.000    0.000 texture_buffer_object_rgb32.py:16(<module>)
        1    0.000    0.000    0.000    0.000 transform_feedback_instanced.py:22(<module>)
        1    0.000    0.000    0.000    0.000 provoking_vertex.py:38(<module>)
        1    0.000    0.000    0.000    0.000 draw_indirect.py:23(<module>)
        1    0.000    0.000    0.000    0.000 compressed_texture_pixel_storage.py:33(<module>)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of 'file' objects}
        1    0.000    0.000    0.000    0.000 shading_language_packing.py:29(<module>)
      151    0.000    0.000    0.000    0.000 arrayhelpers.py:88(asArrayType)
        1    0.000    0.000    0.000    0.000 copy_image.py:30(<module>)
        1    0.000    0.000    0.005    0.005 GL_2_0.py:1(<module>)
     1022    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 error.py:9(<module>)
       37    0.000    0.000    0.019    0.001 sre_compile.py:495(compile)
      770    0.000    0.000    0.000    0.000 test.py:76(vitalize)
      500    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 internalformat_query.py:23(<module>)
        1    0.000    0.000    0.000    0.000 explicit_uniform_location.py:17(<module>)
      495    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
        1    0.000    0.000    0.001    0.001 shader_objects.py:44(<module>)
       47    0.000    0.000    0.000    0.000 images.py:374(setDimensionsAsInts)
      336    0.000    0.000    0.020    0.000 GL_1_1.py:6(_f)
        1    0.000    0.000    0.000    0.000 texture_swizzle.py:32(<module>)
        1    0.000    0.000    0.000    0.000 occlusion_query2.py:18(<module>)
        1    0.000    0.000    0.000    0.000 texture_rgb10_a2ui.py:20(<module>)
        1    0.000    0.000    0.000    0.000 explicit_attrib_location.py:18(<module>)
        1    0.000    0.000    0.000    0.000 shader_image_size.py:13(<module>)
        5    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
      261    0.000    0.000    0.001    0.000 wrapper.py:267(setReturnValues)
      160    0.000    0.000    0.000    0.000 test.py:214(handleEvents)
        1    0.000    0.000    0.000    0.000 debug_label.py:26(<module>)
        1    0.000    0.000    0.000    0.000 shader_bit_encoding.py:17(<module>)
        1    0.000    0.000    0.000    0.000 texture_gather.py:18(<module>)
        1    0.000    0.000    0.000    0.000 shader_precision.py:18(<module>)
        1    0.000    0.000    0.000    0.000 conservative_depth.py:25(<module>)
        1    0.000    0.000    0.000    0.000 arrays_of_arrays.py:101(<module>)
        1    0.000    0.000    0.000    0.000 fragment_layer_viewport.py:22(<module>)
        1    0.000    0.000    0.004    0.004 pointers.py:19(<module>)
        1    0.000    0.000    0.000    0.000 shading_language_420pack.py:51(<module>)
        1    0.000    0.000    0.002    0.002 zipfile.py:3(<module>)
        1    0.000    0.000    0.000    0.000 texture_query_lod.py:16(<module>)
        1    0.000    0.000    0.002    0.002 shader_objects.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
       37    0.000    0.000    0.010    0.000 sre_parse.py:663(parse)
      239    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
       75    0.000    0.000    0.000    0.000 pkgutil.py:358(get_importer)
      160    0.000    0.000    0.001    0.000 test.py:89(cells)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
      294    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 lists.py:8(<module>)
      160    0.000    0.000    0.000    0.000 error.py:214(onBegin)
      379    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      857    0.000    0.000    0.000    0.000 threading.py:63(_note)
        1    0.000    0.000    0.003    0.003 separate_shader_objects.py:1(<module>)
        1    0.000    0.000    0.001    0.001 debug.py:1(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
       50    0.000    0.000    0.015    0.000 {map}
       45    0.000    0.000    0.011    0.000 pkg_resources.py:1947(fixup_namespace_packages)
        3    0.000    0.000    0.000    0.000 numeric.py:346(extend_all)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.004    0.004 GL_1_4.py:1(<module>)
        1    0.000    0.000    0.000    0.000 glustruct.py:1(<module>)
      102    0.000    0.000    0.000    0.000 arrayhelpers.py:102(asArrayTypeSize)
      160    0.000    0.000    0.000    0.000 error.py:217(onEnd)
        3    0.000    0.000    0.000    0.000 __init__.py:483(PYFUNCTYPE)
       12    0.000    0.000    0.107    0.009 formathandler.py:29(loadPlugin)
        1    0.000    0.000    0.000    0.000 {nt.urandom}
       74    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
       49    0.000    0.000    0.012    0.000 pkg_resources.py:1894(_handle_ns)
        1    0.000    0.000    0.000    0.000 numerictypes.py:304(_add_aliases)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
      414    0.000    0.000    0.000    0.000 baseplatform.py:106(wrapContextCheck)
        1    0.000    0.000    0.003    0.003 GL_3_0.py:1(<module>)
      116    0.000    0.000    0.001    0.000 pkg_resources.py:1089(safe_version)
        1    0.000    0.000    0.003    0.003 GL_1_3.py:1(<module>)
       49    0.000    0.000    0.004    0.000 images.py:518(typedImageFunction)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
      199    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _numpysurfarray.py:45(<module>)
      562    0.000    0.000    0.000    0.000 pkg_resources.py:1986(_normalize_cached)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      160    0.000    0.000    0.000    0.000 strings.py:37(asArray)
        1    0.000    0.000    0.000    0.000 quadrics.py:1(<module>)
        1    0.000    0.000    0.000    0.000 plugins.py:1(<module>)
      116    0.000    0.000    0.001    0.000 pkg_resources.py:1081(safe_name)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
      996    0.000    0.000    0.000    0.000 {chr}
      858    0.000    0.000    0.000    0.000 {thread.get_ident}
        1    0.000    0.000    0.000    0.000 constant.py:1(<module>)
        1    0.000    0.000    0.000    0.000 strings.py:54(UnicodeHandler)
